id,domain,old_code,proposed_code,new_code,source,reviewer_verdict,drafter_why,reviewer_reason,misconception
377,3,FCLE,SS.7.CG.1.10,SS.7.CG.1.9,reviewer-accepted,DISPUTE-then-replacement,Addresses Federalist No. 51 views on checks and balances.,"Relates to checks and balances, not ratification viewpoints.",Federalist No. 51 says separation of powers works because government officials are naturally virtuous and respect the system.
378,3,FCLE,SS.7.CG.1.10,SS.7.CG.1.9,reviewer-accepted,DISPUTE-then-replacement,Addresses Federalist No. 51 views on checks and balances.,Relates to separation of powers and federalism.,The 'double security' Madison describes in Federalist No. 51 means having two houses of Congress as a check on the president.
379,3,FCLE,SS.7.CG.1.10,SS.7.CG.1.10,draft+review-confirmed,CONFIRM,Addresses Anti-Federalist arguments regarding ratification.,Directly addresses Anti-Federalist viewpoints and Bill of Rights.,The Anti-Federalists lost the debate over ratification because they didn't have any good arguments — they just complained about everything.
380,3,FCLE,SS.7.CG.1.10,SS.7.CG.1.10,draft+review-confirmed,CONFIRM,Addresses Anti-Federalist arguments regarding ratification.,Addresses Anti-Federalist arguments regarding sovereignty.,Brutus and the Anti-Federalists opposed the Constitution mainly because they wanted stronger state governments to have more power than the federal gov
381,3,FCLE,SS.7.CG.1.6,SS.7.CG.1.6,draft+review-confirmed,CONFIRM,Clarifies the Declaration of Independence did not create government.,Relates to the purpose of the Declaration.,The Declaration of Independence created the American government and established our laws.
382,3,FCLE,SS.7.CG.1.6,SS.7.CG.1.6,draft+review-confirmed,CONFIRM,Explains legal significance of Declaration of Independence grievances.,Relates to the grievances in the Declaration.,The Declaration of Independence's list of grievances against King George III is just historical venting — it has no legal significance.
383,3,FCLE,SS.7.CG.1.6,SS.7.CG.1.2,reviewer-preferred,CONFIRM-with-better-code,Explains origins of natural rights in Declaration of Independence.,Better fits principles underlying founding ideas.,The Declaration of Independence invented the idea of natural rights — Locke's philosophy was not well known before 1776.
384,3,FCLE,SS.7.CG.1.7,SS.7.CG.1.7,draft+review-confirmed,CONFIRM,Explains weaknesses of Articles of Confederation.,Relates to weaknesses of the Articles.,"The Articles of Confederation were basically the same as the Constitution, just an earlier draft."
385,3,FCLE,SS.7.CG.1.7,SS.7.CG.1.7,draft+review-confirmed,CONFIRM,Explains structural weaknesses of Articles of Confederation.,Relates to weaknesses of the Articles.,The Articles of Confederation failed because the states were too small and didn't care about working together.
386,3,FCLE,SS.7.CG.1.7,SS.7.CG.1.7,reviewer-accepted,DISPUTE-then-replacement,Explains ratification process following Articles of Confederation.,Ratification process is not a weakness of the Articles.,The Constitution was ratified quickly once everyone saw how bad the Articles of Confederation were.
387,3,FCLE,SS.7.CG.1.10,SS.7.CG.1.2,reviewer-accepted,DISPUTE-then-replacement,Distinguishes Federalist No. 10 and No. 51 topics.,"Relates to constitutional principles, not ratification debate.",Federalist No. 10 and Federalist No. 51 say basically the same thing — they're redundant.
388,3,FCLE,SS.7.CG.1.7,SS.7.CG.1.7,reviewer-accepted,DISPUTE-then-replacement,Clarifies ratification process and signing of Constitution.,"Relates to the Constitutional Convention, not Articles' weaknesses.","The Constitution was signed by all the Founding Fathers, so they all agreed on everything in it."
389,3,FCLE,SS.7.CG.1.9,SS.7.CG.1.9,reviewer-accepted,DISPUTE-then-replacement,Explains Three-Fifths Compromise as political agreement.,"Relates to constitutional compromises/limitations, not separation of powers.",The Three-Fifths Compromise in the Constitution proves the Founders believed enslaved people were three-fifths of a person.
395,4,FCLE,SS.7.CG.2.4,SS.7.CG.2.4,draft+review-confirmed,CONFIRM,Explains how the Constitution safeguards individual rights in schools.,Directly relates to Bill of Rights and individual rights.,Tinker v. Des Moines said students have the same free speech rights as adults everywhere.
396,4,FCLE,SS.7.CG.2.4,SS.7.CG.2.4,draft+review-confirmed,CONFIRM,Explains how the Constitution safeguards individual religious rights.,Relates to First Amendment and individual rights.,Engel v. Vitale banned all prayer in public schools — students aren't even allowed to pray silently.
397,4,FCLE,SS.7.CG.3.1,SS.7.CG.3.11,reviewer-accepted,DISPUTE-then-replacement,Analyzes advantages of constitutional republic regarding federal power.,Relates to landmark Supreme Court decision effects.,McCulloch v. Maryland is just about a bank — it's not that important for understanding federal power.
398,4,FCLE,SS.7.CG.2.4,SS.7.CG.2.4,draft+review-confirmed,CONFIRM,Explains how the Constitution safeguards free speech rights.,Relates to First Amendment and individual rights.,"Schenck v. United States created the 'clear and present danger' test, which means any speech that's dangerous can be banned."
399,4,FCLE,SS.7.CG.2.4,SS.7.CG.2.4,draft+review-confirmed,CONFIRM,Explains how the Constitution safeguards free speech rights.,Relates to First Amendment and individual rights.,Citizens United v. FEC means corporations can donate unlimited money directly to political candidates.
400,4,FCLE,SS.7.CG.3.13,SS.7.CG.3.11,reviewer-accepted,DISPUTE-then-replacement,Explains government obligations to citizens regarding civil rights.,Relates to legislative history and civil rights impact.,The Civil Rights Act of 1964 was passed because President Johnson just decided to sign it — it was his idea.
401,4,FCLE,SS.7.CG.3.6,SS.7.CG.3.6,draft+review-confirmed,CONFIRM,Analyzes how amendments broadened political participation.,Directly addresses 15th Amendment and political participation.,The Voting Rights Act of 1965 wasn't really necessary because the 15th Amendment already guaranteed voting rights.
402,4,FCLE,SS.7.CG.3.13,SS.7.CG.2.4,reviewer-accepted,DISPUTE-then-replacement,Explains government obligations to citizens with disabilities.,Relates to individual rights and anti-discrimination protections.,The Americans with Disabilities Act just means buildings need wheelchair ramps.
403,4,FCLE,SS.7.CG.3.11,SS.7.CG.3.11,draft+review-confirmed,CONFIRM,Analyzes effects of landmark Supreme Court decisions.,Directly addresses effects of landmark Supreme Court decisions.,Brown v. Board of Education immediately ended segregation in all American schools.
404,4,FCLE,SS.7.CG.3.1,SS.7.CG.3.11,reviewer-accepted,DISPUTE-then-replacement,Analyzes advantages of constitutional republic regarding judicial review.,Relates to landmark Supreme Court decision effects.,"Marbury v. Madison established judicial review, which is explicitly written in the Constitution."
415,1,FCLE,SS.7.CG.1.2,SS.7.CG.1.2,draft+review-confirmed,CONFIRM,Distinguishes philosophical social contract from constitutional legal document.,Relates to foundational principles of government legitimacy.,The social contract and the Constitution are interchangeable terms for the same concept.
416,1,FCLE,SS.7.CG.1.2,SS.7.CG.1.2,draft+review-confirmed,CONFIRM,Compares Hobbes and Locke on state of nature and government.,Relates to Enlightenment principles underlying founding ideas.,Hobbes and Locke fundamentally agreed about human nature in the state of nature.
417,1,FCLE,SS.7.CG.1.2,SS.7.CG.1.2,draft+review-confirmed,CONFIRM,"Clarifies limited government means constrained authority, not weak capacity.",Relates to principles of limited government.,Limited government means the government is too weak to accomplish significant national goals.
418,1,FCLE,SS.7.CG.1.11,SS.7.CG.1.11,draft+review-confirmed,CONFIRM,Explains rule of law allows legal change through democratic process.,Directly addresses the definition of rule of law.,"The rule of law means laws never change, regardless of new circumstances or societal needs."
419,1,FCLE,SS.7.CG.1.2,SS.7.CG.1.2,draft+review-confirmed,CONFIRM,Distinguishes Constitution's limited powers from Bill of Rights protections.,Relates to principles of limited government.,"The Bill of Rights created limited government — before it, the federal government had unlimited power."
420,1,FCLE,SS.7.CG.1.2,SS.7.CG.1.2,draft+review-confirmed,CONFIRM,Distinguishes constitutional limits from size of government programs.,Relates to principles of limited government.,Limited government and small government are the same political concept.
421,1,FCLE,SS.7.CG.1.2,SS.7.CG.1.2,draft+review-confirmed,CONFIRM,"Explains judicial review is implied power, not explicit constitutional text.",Relates to principles of checks and balances.,Judicial review is explicitly stated in the Constitution as a check on legislative power.
422,1,FCLE,SS.7.CG.1.2,SS.7.CG.1.2,draft+review-confirmed,CONFIRM,Distinguishes republic representative government from direct democracy.,Relates to the principle of popular sovereignty.,Popular sovereignty means the people vote directly on every law and policy decision.
423,1,FCLE,SS.7.CG.1.2,SS.7.CG.1.2,draft+review-confirmed,CONFIRM,"Traces popular sovereignty roots to Enlightenment philosophy, not just Founders.",Relates to origins of founding principles.,Popular sovereignty was a concept invented entirely by the American Founders.
424,1,FCLE,SS.7.CG.1.2,SS.7.CG.1.2,reviewer-accepted,DISPUTE-then-replacement,Explains Electoral College as mechanism of indirect popular sovereignty.,Electoral College is a specific structural mechanism of elections.,The Electoral College contradicts popular sovereignty because it can override the national popular vote.
425,1,FCLE,SS.7.CG.1.2,SS.7.CG.1.2,draft+review-confirmed,CONFIRM,Explains popular sovereignty constrained by minority rights and checks.,Relates to principles of popular sovereignty and rights.,Popular sovereignty means majority rule with no protections for minority rights.
426,1,FCLE,SS.7.CG.1.8,SS.7.CG.1.8,draft+review-confirmed,CONFIRM,Explains Preamble establishes popular sovereignty as source of legitimacy.,Directly addresses the purpose of the Preamble.,The preamble's 'We the People' is purely symbolic language with no real legal significance.
427,1,FCLE,SS.7.CG.2.6,SS.7.CG.2.6,reviewer-accepted,DISPUTE-then-replacement,Traces historical expansion of suffrage beyond initial property restrictions.,Relates to voting rights and suffrage history.,The U.S. has always had universal suffrage — the Founders intended for everyone to vote from the start.
428,1,FCLE,SS.7.CG.2.6,SS.7.CG.2.6,draft+review-confirmed,CONFIRM,Identifies structural barriers as cause of low voter turnout.,Relates to factors affecting the voting process.,Voter turnout in the U.S. is low because Americans are inherently less political than other citizens.
429,1,FCLE,SS.7.CG.2.6,SS.7.CG.2.6,draft+review-confirmed,CONFIRM,Analyzes impact of NVRA on voter registration barriers.,Relates to the voter registration process.,The National Voter Registration Act solved the voter registration problem completely.
430,1,FCLE,SS.7.CG.2.6,SS.7.CG.2.6,draft+review-confirmed,CONFIRM,Analyzes closed primaries as associational freedom within election process.,Relates to the mechanics of the election process.,Closed primaries are undemocratic because they prevent independent voters from having any influence.
431,1,FCLE,SS.7.CG.2.6,SS.7.CG.2.6,draft+review-confirmed,CONFIRM,Explains midterm importance for legislation and budget control.,Relates to election cycles and participation.,Midterm elections have lower turnout because they don't matter as much as presidential elections.
432,1,FCLE,SS.7.CG.2.6,SS.7.CG.2.6,reviewer-accepted,DISPUTE-then-replacement,Analyzes constitutionality of compulsory voting versus civic duties.,Relates to legal aspects of voting requirements.,Compulsory voting would be unconstitutional because it violates the First Amendment.
433,1,FCLE,SS.7.CG.2.6,SS.7.CG.2.6,draft+review-confirmed,CONFIRM,Traces historical adoption of secret ballot in late 19th century.,Relates to the history of voting methods.,The secret ballot (Australian ballot) was part of American elections from the founding era.
434,1,FCLE,SS.7.CG.1.2,SS.7.CG.1.2,draft+review-confirmed,CONFIRM,Traces Founders' original intent regarding political parties and factions.,Relates to founding ideas regarding political factions.,The Founders intended for political parties to be a central part of American democracy.
435,1,FCLE,SS.7.CG.2.8,SS.7.CG.2.8,draft+review-confirmed,CONFIRM,Misconception about interest groups influencing government.,Directly addresses the influence of interest groups.,Interest groups are undemocratic because they only represent wealthy or corporate interests.
436,1,FCLE,SS.7.CG.2.8,SS.7.CG.2.8,reviewer-accepted,DISPUTE-then-replacement,Misconception about partisan change and media influence.,"Partisan shifts are election/voting processes, not interest group impacts.",Realignment and dealignment refer to the same process of partisan change in the electorate.
437,1,FCLE,SS.7.CG.1.2,SS.7.CG.1.2,draft+review-confirmed,CONFIRM,Misconception about early political parties and founding ideas.,Relates to founding era political structures and principles.,"The Federalists and Anti-Federalists were the first political parties, functioning like Democrats and Republicans today."
438,1,FCLE,SS.7.CG.2.8,SS.7.CG.2.8,draft+review-confirmed,CONFIRM,Misconception about interest groups influencing government.,Addresses how interest groups influence government.,Interest groups always support one political party exclusively and never work across party lines.
439,1,FCLE,SS.7.CG.2.8,SS.7.CG.2.6,reviewer-accepted,DISPUTE-then-replacement,Misconception about partisan change and media influence.,Dealignment relates to voting behavior and party systems.,A dealignment means a political party has permanently collapsed and will never recover.
440,1,FCLE,SS.7.CG.1.11,SS.7.CG.2.8,reviewer-accepted,DISPUTE-then-replacement,Misconception about rule of law and petition rights.,Right to petition is an interest group/individual influence.,Lobbying is inherently corrupt — there is no legitimate constitutional basis for citizens to petition government.
441,1,FCLE,SS.7.CG.2.9,SS.7.CG.2.9,draft+review-confirmed,CONFIRM,Misconception about media bias and political communications.,Relates to media communications and political influence.,The bandwagon effect in polling proves polls should be banned to protect democracy.
442,1,FCLE,SS.7.CG.2.8,SS.7.CG.2.8,reviewer-accepted,DISPUTE-then-replacement,Misconception about media influence on government.,Public opinion is influenced by media and individuals.,Public opinion is too unstable to be a reliable guide for democratic governance.
443,1,FCLE,SS.7.CG.2.9,SS.7.CG.2.9,draft+review-confirmed,CONFIRM,Misconception about media bias and political communications.,Directly concerns media communication and framing.,Agenda-setting means the media tells people what to think about political issues.
444,1,FCLE,SS.7.CG.2.8,SS.7.CG.2.9,reviewer-accepted,DISPUTE-then-replacement,Misconception about media influence on government.,Relates to analyzing media/polling communications and bias.,A sampling error of ±3% means the poll is wrong 3% of the time it is conducted.
445,1,FCLE,SS.7.CG.2.9,SS.7.CG.2.9,draft+review-confirmed,CONFIRM,Misconception about media bias and political communications.,Analyzes media communications and their influence.,Social media has completely replaced traditional media as the primary agenda-setter in politics.
446,1,FCLE,SS.7.CG.2.8,SS.7.CG.2.9,reviewer-accepted,DISPUTE-then-replacement,Misconception about media influence on government.,Relates to media/polling accuracy and communication.,Public opinion polls become more accurate in election years because more people are paying attention.
447,1,FCLE,SS.7.CG.2.6,SS.7.CG.2.6,draft+review-confirmed,CONFIRM,Misconception about election and voting process.,Directly concerns the election and voting process.,Initiatives and referendums are the same thing — both let citizens directly create new laws.
448,1,FCLE,SS.7.CG.2.6,SS.7.CG.2.6,draft+review-confirmed,CONFIRM,Misconception about election and voting process.,Relates to state-level voting mechanisms.,Direct democracy mechanisms like initiatives and recalls are available in all 50 states.
449,1,FCLE,SS.7.CG.2.6,SS.7.CG.2.6,draft+review-confirmed,CONFIRM,Misconception about election and voting process.,Relates to the election and voting process.,Recall elections violate representative democracy because voters should wait until the next election to remove officials.
450,1,FCLE,SS.7.CG.2.8,SS.7.CG.2.8,draft+review-confirmed,CONFIRM,Misconception about interest groups influencing government.,Addresses interest group influence on political processes.,The initiative process is purely democratic and never influenced by wealthy donors or special interests.
451,1,FCLE,SS.7.CG.2.6,SS.7.CG.2.6,draft+review-confirmed,CONFIRM,Misconception about election and voting process.,Relates to the voting process and direct democracy.,Referendums are always about constitutional amendments and cannot be used for ordinary legislation.
452,1,FCLE,SS.7.CG.2.6,SS.7.CG.2.6,draft+review-confirmed,CONFIRM,Misconception about election and voting process.,Relates to the structure of the voting process.,Direct democracy tools like initiatives make representative government unnecessary.
453,1,FCLE,SS.7.CG.1.6,SS.7.CG.1.6,draft+review-confirmed,CONFIRM,Misconception about Declaration of Independence ideas.,Relates to the philosophy within the Declaration.,"Locke's natural rights philosophy applies only to American citizens, not to all human beings."
454,1,FCLE,SS.7.CG.1.2,SS.7.CG.2.6,reviewer-accepted,DISPUTE-then-replacement,Misconception about founding principles and law.,Gerrymandering is an election/districting process issue.,Gerrymandering is a modern problem that didn't exist during the Founding era.
455,2,FCLE,SS.7.CG.3.3,SS.7.CG.3.3,draft+review-confirmed,CONFIRM,Misconception about the structure and function of the legislative branch.,Relates to the structure and order of branches.,Article I establishes the executive branch first because the framers considered it the most important branch.
456,2,FCLE,SS.7.CG.3.9,SS.7.CG.3.9,draft+review-confirmed,CONFIRM,Misconception about the structure and function of the judicial branch.,Relates to judicial tenure and removal processes.,Article III's 'good behaviour' clause means federal judges can be removed for making unpopular rulings.
457,2,FCLE,SS.7.CG.3.9,SS.7.CG.1.9,reviewer-accepted,DISPUTE-then-replacement,Misconception about the structure and function of the judicial branch.,Supremacy Clause relates to federalism and limits on power.,"Article VI's Supremacy Clause only applies to the federal government's enumerated powers, not to implied powers."
458,2,FCLE,SS.7.CG.3.8,SS.7.CG.3.8,draft+review-confirmed,CONFIRM,Misconception about the structure and function of the executive branch.,Relates to executive branch powers and limitations.,Article II gives the president unlimited authority to issue executive orders that have the force of law.
459,2,FCLE,SS.7.CG.3.5,SS.7.CG.3.5,draft+review-confirmed,CONFIRM,Misconception about the amendment process outlined in Article V.,Directly addresses the Article V amendment process.,Article V makes ratifying a constitutional amendment easier than passing a federal statute because state legislatures can do it.
460,2,FCLE,SS.7.CG.3.8,SS.7.CG.3.7,reviewer-accepted,DISPUTE-then-replacement,Misconception about the structure and function of the executive branch.,Advice and consent is a legislative function/check.,The Senate's advice and consent role means it can reject any cabinet nominee for any reason without justification.
461,2,FCLE,SS.7.CG.3.7,SS.7.CG.3.7,draft+review-confirmed,CONFIRM,Misconception about the structure and function of the legislative branch.,Relates to legislative power via the Commerce Clause.,The Commerce Clause has always been interpreted broadly to give Congress power over all economic activity.
462,2,FCLE,SS.7.CG.3.7,SS.7.CG.3.7,draft+review-confirmed,CONFIRM,Misconception about the structure and function of the legislative branch.,Relates to Senate legislative processes and rules.,A filibuster is a constitutionally mandated protection for minority rights in the Senate.
463,2,FCLE,SS.7.CG.3.3,SS.7.CG.3.3,reviewer-accepted,DISPUTE-then-replacement,Misconception about the structure and function of the legislative branch.,Impeachment is a check involving both branches.,"The House has the sole power of impeachment, so it alone can remove a president from office."
464,2,FCLE,SS.7.CG.3.7,SS.7.CG.3.7,draft+review-confirmed,CONFIRM,Misconception about the structure and function of the legislative branch.,Relates to the structure and size of the House.,The Reapportionment Act of 1929 violated the Constitution by freezing the House at 435 members.
465,2,FCLE,SS.7.CG.3.8,SS.7.CG.1.9,reviewer-accepted,DISPUTE-then-replacement,Misconception about the structure and function of the executive branch.,Relates to separation of powers in foreign policy.,The unitary executive theory means the president has sole constitutional authority over all foreign policy decisions.
466,2,FCLE,SS.7.CG.3.8,SS.7.CG.3.8,draft+review-confirmed,CONFIRM,Misconception about the structure and function of the executive branch.,Relates to presidential powers and their origins.,Executive privilege is explicitly stated in the Constitution as a presidential power.
467,2,FCLE,SS.7.CG.3.8,SS.7.CG.3.8,draft+review-confirmed,CONFIRM,Misconception about the structure and function of the executive branch.,Relates to executive role as Commander in Chief.,The War Powers Resolution of 1973 solved the constitutional ambiguity about who can commit troops to combat.
468,2,FCLE,SS.7.CG.3.8,SS.7.CG.3.8,draft+review-confirmed,CONFIRM,Misconception about the structure and function of the executive branch.,Relates to the executive election process.,The Electoral College was designed to reflect the popular will and has functioned that way throughout history.
469,2,FCLE,SS.7.CG.3.8,SS.7.CG.3.8,draft+review-confirmed,CONFIRM,Misconception about the structure and function of the executive branch.,Relates to presidential succession and disability.,The Twenty-Fifth Amendment's disability provision has always been the constitutional mechanism for presidential succession during illness.
470,2,FCLE,SS.7.CG.3.9,SS.7.CG.3.9,draft+review-confirmed,CONFIRM,Misconception about the structure and function of the judicial branch.,Relates to judicial branch jurisdiction.,The Supreme Court's original jurisdiction under Article III means it hears most cases first before any lower court.
471,2,FCLE,SS.7.CG.3.9,SS.7.CG.3.9,draft+review-confirmed,CONFIRM,Misconception about the structure and function of the judicial branch.,Relates to judicial branch powers and review.,Judicial review was explicitly written into Article III by the framers as a core feature of the judiciary.
472,2,FCLE,SS.7.CG.3.9,SS.7.CG.3.9,draft+review-confirmed,CONFIRM,Misconception about the structure and function of the judicial branch.,Relates to judicial processes and precedent.,Stare decisis means the Supreme Court can never overturn its own previous rulings.
473,2,FCLE,SS.7.CG.3.9,SS.7.CG.3.7,reviewer-accepted,DISPUTE-then-replacement,Misconception about the structure and function of the judicial branch.,Confirmation is a legislative process/check.,"Federal judges are confirmed by the full Congress, just like Supreme Court justices."
474,2,FCLE,SS.7.CG.3.9,SS.7.CG.1.9,reviewer-accepted,DISPUTE-then-replacement,Misconception about the structure and function of the judicial branch.,Relates to rule of law and legal limits.,The doctrine of sovereign immunity means the federal government can never be sued by private citizens under any circumstances.
475,2,FCLE,SS.7.CG.3.2,SS.7.CG.3.2,draft+review-confirmed,CONFIRM,Explains federalism models balancing state sovereignty and national unity.,Relates to the division of power in a federal system.,Dual federalism means state and federal governments have always operated in completely separate policy spheres.
476,2,FCLE,SS.7.CG.3.2,SS.7.CG.3.2,draft+review-confirmed,CONFIRM,Explains federalism models balancing state sovereignty and national unity.,Relates to the evolution of federalism models.,Cooperative federalism began with the New Deal and has been the dominant model continuously since the 1930s.
477,2,FCLE,SS.7.CG.3.2,SS.7.CG.1.9,reviewer-accepted,DISPUTE-then-replacement,Explains federalism models balancing state sovereignty and national unity.,Relates to constitutional limits on government power.,The Tenth Amendment reserves all powers to the states unless the federal government explicitly claims them.
478,2,FCLE,SS.7.CG.3.2,SS.7.CG.3.2,reviewer-accepted,DISPUTE-then-replacement,Explains federalism models balancing state sovereignty and national unity.,Relates to federal supremacy within the federal system.,McCulloch v. Maryland established that states can tax federal operations within their borders.
479,2,FCLE,SS.7.CG.3.2,SS.7.CG.3.2,reviewer-accepted,DISPUTE-then-replacement,Explains federalism models balancing state sovereignty and national unity.,Relates to federalism and intergovernmental relations.,Unfunded mandates are unconstitutional because the federal government cannot force states to spend money.
480,2,FCLE,SS.7.CG.3.3,SS.7.CG.3.3,draft+review-confirmed,CONFIRM,Explains how branches limit each other asymmetrically.,Relates to the functions of the three branches.,Checks and balances means each branch can veto any action by the other two branches equally.
481,2,FCLE,SS.7.CG.3.3,SS.7.CG.3.3,draft+review-confirmed,CONFIRM,Distinguishes separation of powers from checks and balances.,Relates to the structure and function of branches.,Separation of powers and checks and balances are essentially the same constitutional concept.
482,2,FCLE,SS.7.CG.3.8,SS.7.CG.3.8,draft+review-confirmed,CONFIRM,Explains executive branch functions and legal limits.,Relates to executive branch functions and processes.,The signing statement is a constitutional tool presidents use to formally veto parts of legislation they disagree with.
483,2,FCLE,SS.7.CG.3.7,SS.7.CG.3.7,draft+review-confirmed,CONFIRM,Explains legislative branch processes and constitutional limits.,Relates to legislative branch processes and powers.,"Legislative veto provisions, where Congress can overturn executive agency actions by a simple resolution, are constitutional."
484,2,FCLE,SS.7.CG.3.8,SS.7.CG.3.8,draft+review-confirmed,CONFIRM,Explains executive branch functions and delegation limits.,Relates to executive branch authority and delegation.,The nondelegation doctrine prevents Congress from giving any of its lawmaking authority to executive agencies.
485,2,FCLE,SS.7.CG.3.5,SS.7.CG.3.5,draft+review-confirmed,CONFIRM,Explains the amendment process outlined in Article V.,Relates to the Article V amendment process.,A constitutional convention called by two-thirds of the states could only consider the specific amendments the states requested.
486,2,FCLE,SS.7.CG.3.5,SS.7.CG.3.5,draft+review-confirmed,CONFIRM,Explains the amendment process outlined in Article V.,Relates to the amendment ratification process.,The Equal Rights Amendment was never ratified because it failed to get the required three-fourths of state legislatures.
487,2,FCLE,SS.7.CG.3.5,SS.7.CG.3.5,draft+review-confirmed,CONFIRM,Explains the amendment process outlined in Article V.,Relates to the amendment ratification process.,"Once an amendment is proposed by Congress, it remains pending indefinitely until enough states ratify it."
